Date,Max.Demand met during the day (MW)
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,-627.0
2016-02-02,627.0
2016-02-03,1.0
2016-02-04,100.0
2016-02-05,-96.0
2016-02-06,73.0
2016-02-07,-356.0
2016-02-08,308.0
2016-02-09,84.0
2016-02-10,-112.0
2016-02-11,27.0
2016-02-12,-170.0
2016-02-13,280.0
2016-02-14,-310.0
2016-02-15,128.0
2016-02-16,108.0
2016-02-17,-153.0
2016-02-18,211.0
2016-02-19,-334.0
2016-02-20,408.0
2016-02-21,-618.0
2016-02-22,408.0
2016-02-23,93.0
2016-02-24,-80.0
2016-02-25,44.0
2016-02-26,-24.0
2016-02-27,158.0
2016-02-28,-464.0
2016-02-29,195.0
2016-03-01,212.0
2016-03-02,493.0
2016-03-03,-1156.0
2016-03-04,548.0
2016-03-05,130.0
2016-03-06,-375.0
2016-03-07,-20.0
2016-03-08,1586.0
2016-03-09,-2350.0
2016-03-10,1203.0
2016-03-11,-249.0
2016-03-12,172.0
2016-03-13,-356.0
2016-03-14,105.0
2016-03-15,298.0
2016-03-16,-46.0
2016-03-17,-102.0
2016-03-18,-108.0
2016-03-19,356.0
2016-03-20,-386.0
2016-03-21,-93.0
2016-03-22,468.0
2016-03-23,-297.0
2016-03-24,1052.0
2016-03-25,-2788.0
2016-03-26,3588.0
2016-03-27,-2948.0
2016-03-28,1072.0
2016-03-29,401.0
2016-03-30,-265.0
2016-03-31,81.0
2016-04-01,-6.0
2016-04-02,-16.0
2016-04-03,-272.0
2016-04-04,209.0
2016-04-05,339.0
2016-04-06,-400.0
2016-04-07,-21.0
2016-04-08,9.0
2016-04-09,-43.0
2016-04-10,-205.0
2016-04-11,160.0
2016-04-12,386.0
2016-04-13,-275.0
2016-04-14,124.0
2016-04-15,-150.0
2016-04-16,189.0
2016-04-17,37.0
2016-04-18,-111.0
2016-04-19,280.0
2016-04-20,-273.0
2016-04-21,-418.0
2016-04-22,545.0
2016-04-23,-223.0
2016-04-24,-449.0
2016-04-25,275.0
2016-04-26,415.0
2016-04-27,-112.0
2016-04-28,-140.0
2016-04-29,207.0
2016-04-30,-113.0
2016-05-01,-302.0
2016-05-02,294.0
2016-05-03,356.0
2016-05-04,-249.0
2016-05-05,-394.0
2016-05-06,-41.0
2016-05-07,186.0
2016-05-08,51.0
2016-05-09,171.0
2016-05-10,-6.0
2016-05-11,5.0
2016-05-12,-157.0
2016-05-13,208.0
2016-05-14,-115.0
2016-05-15,-203.0
2016-05-16,145.0
2016-05-17,86.0
2016-05-18,68.0
2016-05-19,-162.0
2016-05-20,376.0
2016-05-21,-267.0
2016-05-22,-481.0
2016-05-23,160.0
2016-05-24,174.0
2016-05-25,-554.0
2016-05-26,770.0
2016-05-27,-75.0
2016-05-28,-32.0
2016-05-29,-20.0
2016-05-30,-981.0
2016-05-31,504.0
2016-06-01,1113.0
2016-06-02,-405.0
2016-06-03,39.0
2016-06-04,-140.0
2016-06-05,-305.0
2016-06-06,92.0
2016-06-07,282.0
2016-06-08,-540.0
2016-06-09,436.0
2016-06-10,-333.0
2016-06-11,486.0
2016-06-12,-1140.0
2016-06-13,528.0
2016-06-14,1206.0
2016-06-15,-1240.0
2016-06-16,579.0
2016-06-17,-519.0
2016-06-18,557.0
2016-06-19,-436.0
2016-06-20,103.0
2016-06-21,-45.0
2016-06-22,140.0
2016-06-23,-76.0
2016-06-24,-123.0
2016-06-25,656.0
2016-06-26,-513.0
2016-06-27,-217.0
2016-06-28,446.0
2016-06-29,-229.0
2016-06-30,42.0
2016-07-01,155.0
2016-07-02,-145.0
2016-07-03,-863.0
2016-07-04,22.0
2016-07-05,1316.0
2016-07-06,3.0
2016-07-07,-579.0
2016-07-08,118.0
2016-07-09,-246.0
2016-07-10,-138.0
2016-07-11,314.0
2016-07-12,181.0
2016-07-13,-322.0
2016-07-14,239.0
2016-07-15,-10.0
2016-07-16,-342.0
